Type Ligne;Identifiant de l'élément;Structure;Type de l'élément;Statut de l'élément;Nom base français;Nom base anglais;Nom base espagnol;Nom attribut français;Nom attribut anglais;Nom attribut espagnol;Nom frontière français;Nom frontière anglais;Nom frontière espagnol;Code de la catégorie;Tags français;Tags anglais;Tags espagnol;Unité français;Unité anglais;Unité espagnol;Contributeur;Autres Contributeurs;Programme;Url du programme;Source;Localisation géographique;Sous-localisation géographique français;Sous-localisation géographique anglais;Sous-localisation géographique espagnol;Date de création;Date de modification;Période de validité;Incertitude;Réglementations;Transparence;Qualité;Qualité TeR;Qualité GR;Qualité TiR;Qualité C;Qualité P;Qualité M;Commentaire français;Commentaire anglais;Commentaire espagnol;Type poste;Nom poste français;Nom poste anglais;Nom poste espagnol;Total poste non décomposé;CO2f;CH4f;CH4b;N2O;Code gaz supplémentaire 1;Valeur gaz supplémentaire 1;Code gaz supplémentaire 2;Valeur gaz supplémentaire 2;Code gaz supplémentaire 3;Valeur gaz supplémentaire 3;Code gaz supplémentaire 4;Valeur gaz supplémentaire 4;Code gaz supplémentaire 5;Valeur gaz supplémentaire 5;Autres GES;CO2b
Elément;20851;élément non décomposé;Facteur d'émission;Valide générique;Acide chlorhydrique;Hydrochloric acid;Ácido clorhídrico;;manufacture;fabricación;;;;Achats de biens > Plastiques et produits chimiques > Produits chimiques > Produits chimiques de base;acide chlorhydrique;hydrochloric acid;;kgCO2e/tonne;kgCO2e/ton;;ADEME;;;;;France continentale;;;;05/11/2014;05/11/2014;déc-18;50;;;;;;;;;;;;;;;;;1199;;;;;;;;;;;;;;;;
Elément;20572;élément non décomposé;Facteur d'émission;Valide générique;Acide citrique, monohydrate;Citric acid;;;;;;;;Achats de biens > Plastiques et produits chimiques > Produits chimiques > Engrais, phytosanitaires... > Produits chimiques spécifiques à la viticulture;viticulture,acide citrique,monohydrate;;;kgCO2e/tonne;kgCO2e/ton;;ADEME;;;;;France continentale;;;;05/11/2014;05/11/2014;;50;;;;;;;;;;;;;;;;;3300;;;;;;;;;;;;;;;;
Elément;20570;élément non décomposé;Facteur d'émission;Valide générique;Acide D,L tartrique;Calculous D,Lacid;;;;;;;;Achats de biens > Plastiques et produits chimiques > Produits chimiques > Engrais, phytosanitaires... > Produits chimiques spécifiques à la viticulture;viticulture,acide tartrique;;;kgCO2e/tonne;kgCO2e/ton;;ADEME;;;;;France continentale;;;;05/11/2014;05/11/2014;;50;;;;;;;;;;;;;;;;;3300;;;;;;;;;;;;;;;;
Elément;20666;élément non décomposé;Facteur d'émission;Valide générique;Acide nitrique 50%;Nitric acid 50%;;;;;;;;Achats de biens > Plastiques et produits chimiques > Produits chimiques > Produits chimiques de base;acide nitrique;;;kgCO2e/tonne;kgCO2e/ton;;ADEME;;;;;France continentale;;;;05/11/2014;05/11/2014;;100;;;;;;;;;;;;;;;;;3180;;;;;;;;;;;;;;;;
Elément;20848;élément non décomposé;Facteur d'émission;Valide générique;Acide phosphorique;Phosphoric acid;Ácido fosfórico;;manufacture;fabricación;;;;Achats de biens > Plastiques et produits chimiques > Produits chimiques > Produits chimiques de base;acide phosphorique;phosphoric acid;;kgCO2e/tonne;kgCO2e/ton;;ADEME;;;;;France continentale;;;;05/11/2014;05/11/2014;déc-18;50;;;;;;;;;;;;;;;;;1424;;;;;;;;;;;;;;;;
Elément;20569;élément non décomposé;Facteur d'émission;Valide générique;Acide sorbique;Sorbic acid;;;;;;;;Achats de biens > Plastiques et produits chimiques > Produits chimiques > Engrais, phytosanitaires... > Produits chimiques spécifiques à la viticulture;viticulture,acide sorbique;;;kgCO2e/tonne;kgCO2e/ton;;ADEME;;;;;France continentale;;;;05/11/2014;05/11/2014;;50;;;;;;;;;;;;;;;;;807;;;;;;;;;;;;;;;;
Elément;20850;élément non décomposé;Facteur d'émission;Valide générique;Acide sulfurique;Sulphuric acid;Ácido sufúrico;;manufacture;fabricación;;;;Achats de biens > Plastiques et produits chimiques > Produits chimiques > Produits chimiques de base;acide sulfurique;sulphuric acid;;kgCO2e/tonne;kgCO2e/ton;;ADEME;;;;;France continentale;;;;05/11/2014;05/11/2014;déc-18;50;;;;;;;;;;;;;;;;;148;;;;;;;;;;;;;;;;
Elément;26729;élément non décomposé;Facteur d'émission;Valide générique;Acier ou fer blanc;New steel or sheet metal;Acero u hojalata nuevo;;manufacture;fabricación;neuf;new;;Achats de biens > Métaux et produits métalliques > Acier;Métaux,Acier,fer blanc;Steel,sheet metal;;kgCO2e/tonne;kgCO2e/ton;;FEDEREC;;;;FEDEREC / ADEME;France continentale;;;;18/09/2018;18/09/2018;déc-21;10;;;;;;;;;;;;;;;;;2211;;;;;;;;;;;;;;;;
Elément;26730;élément non décomposé;Facteur d'émission;Valide générique;Acier ou fer blanc;Recycled steel or sheet metal;Acero u hojalata reciclado;;manufacture;fabricación;recyclé;recycled;;Achats de biens > Métaux et produits métalliques > Acier;Métaux,Acier,fer blanc;Steel,sheet metal;;kgCO2e/tonne;kgCO2e/ton;;FEDEREC;;;;FEDEREC / ADEME;France continentale;;;;18/09/2018;18/09/2018;déc-21;10;;;;;;;;;;;;;;;;;938;;;;;;;;;;;;;;;;
Elément;24253;élément décomposé par gaz;Facteur d'émission;Valide générique;Adhésif Epoxy;Epoxy  adhesive;adhesive;mélange;mixture;;;;;Achats de biens > Plastiques et produits chimiques > Produits chimiques > Peintures et résines;base IMPACT,peinture,adhésif époxy;;;kgCO2e/kg;kgCO2e/kg;;ADEME;;Base IMPACT;http://www.base-impacts.ademe.fr/;;Monde;;;;06/11/2014;06/11/2014;déc-17;;;;;;;;;;;;;;;;;;6,9;6,4;0,445;0;0,0518;;;;;;;;;;;3,61E-05;0,1091175
Elément;24254;élément décomposé par gaz;Facteur d'émission;Valide générique;Adhésif Epoxy;Epoxy  adhesive;;simple à 2 composants;simple with 2 components;;;;;Achats de biens > Plastiques et produits chimiques > Produits chimiques > Peintures et résines;base IMPACT,peinture,adhésif époxy;;;kgCO2e/kg;kgCO2e/kg;;ADEME;;Base IMPACT;http://www.base-impacts.ademe.fr/;;Monde;;;;06/11/2014;06/11/2014;déc-17;;;;;;;;;;;;;;;;;;3,14;2,62;0,371;0;0,031;;;;;;;;;;;0,115;0,021762684
Elément;23324;élément non décomposé;Données source;Valide générique;Adoucisseur d'eau;;;;;;consommation moyenne annuelle d'électricité;;;Statistiques territoriales > Résidentiel > Equipements électriques;;;;kWh / (ménage.an);kWh / (ménage.an);;ADEME;;;;;France continentale;;;;06/11/2014;06/11/2014;déc-17;30;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;
Elément;12895;élément décomposé par poste et par gaz;Facteur d'émission;Valide générique;Agglomérés de houille;Concentrated coal;;;;;;;;Combustibles > Fossiles > Solides > Charbons;combustible solide,charbon,agglomérés de houille;;;kgCO2e/GJ PCI;kgCO2e/GJ ICV;;ADEME;;;;;France continentale;;;;17/10/2014;17/10/2014;déc-17;20;DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'EU Emissions Trading System (EU ETS);;;;;;;;;;;;;;;;105;98,3;5,58;0;0,795;;0;;0;;0;;0;;0;0;0
